City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,weno,7.4515,151.8468,30.97,66,100,6.17,FM,1705120461
1,cadale,2.7603,46.3222,26.4,81,82,6.93,SO,1705120461
2,thompson,55.7435,-97.8558,-31.91,75,0,1.54,CA,1705120461
3,hawaiian paradise park,19.5933,-154.9731,22.73,76,0,5.66,US,1705120461
4,puerto ayora,-0.7393,-90.3518,25.31,94,8,2.24,EC,1705120462
5,kayangel,8.0823,134.7173,28.5,75,85,8.99,PW,1705120462
6,sao felix do xingu,-6.6447,-51.995,22.85,96,100,0.33,BR,1705120462
7,port-aux-francais,-49.35,70.2167,7.04,90,88,10.03,TF,1705120462
8,adamstown,-25.066,-130.1015,23.93,83,76,7.19,PN,1705120463
9,shingu,33.7333,135.9833,10.48,53,0,8.72,JP,1705120463
10,rongelap,11.1635,166.8941,26.81,73,44,9.76,MH,1705120463
11,cooper's town,26.8667,-77.5167,24.01,90,56,7.93,BS,1705120463
12,lebu,-37.6167,-73.65,13.3,88,84,7.93,CL,1705120464
13,port alfred,-33.5906,26.891,20.1,99,20,1.34,ZA,1705120464
14,kharp,66.8014,65.8081,-27.65,95,97,0.72,RU,1705120464
15,puerto ayacucho,5.6639,-67.6236,26.4,77,100,1.08,VE,1705120464
16,wenzhou,27.9994,120.6668,17.62,33,0,2.2,CN,1705120464
17,grytviken,-54.2811,-36.5092,1.3,79,91,5.04,GS,1705120465
18,albany,42.6001,-73.9662,5.23,71,100,0.89,US,1705120465
19,bredasdorp,-34.5322,20.0403,19.91,83,0,1.73,ZA,1705120465
20,lihue,21.9789,-159.3672,21.58,60,0,4.63,US,1705120365
21,berdigestyakh,62.0989,126.6992,-27.75,97,100,0.59,RU,1705120397
22,nago,26.5881,127.9761,20.25,50,1,4.07,JP,1705120466
23,alo,7.4178,6.7371,21.78,29,62,0.95,NG,1705120466
24,kapa'a,22.0752,-159.319,21.99,61,0,4.63,US,1705120340
25,isafjordur,66.0755,-23.124,2.75,96,100,0.46,IS,1705120466
26,lazaro cardenas,17.9583,-102.2,22.55,81,90,1.45,MX,1705120380
27,praia da vitoria,38.7333,-27.0667,16.14,88,40,7.05,PT,1705120467
28,hamilton,39.1834,-84.5333,6.97,81,100,11.32,US,1705120309
29,papatowai,-46.5619,169.4708,23.06,50,100,7.15,NZ,1705120467
30,goure,13.9835,10.2704,15.45,18,0,3.94,NE,1705120468
31,wynyard,-41.0,145.7167,22.18,40,100,2.27,AU,1705120468
32,klaksvik,62.2266,-6.589,4.51,70,91,14.6,FO,1705120468
33,jolo,6.05,121.0167,29.4,71,98,1.32,PH,1705120468
34,milagros,12.2181,123.5095,27.5,76,94,7.51,PH,1705120469
35,iqaluit,63.7506,-68.5145,-5.15,79,100,7.2,CA,1705120470
36,campbell river,50.0163,-125.2446,-7.26,62,100,0.0,CA,1705120309
37,ixtapa,20.7,-105.2,20.57,88,40,2.06,MX,1705120470
38,petropavlovsk-kamchatsky,53.0452,158.6483,-13.67,43,75,3.0,RU,1705120470
39,bethel,41.3712,-73.414,7.23,80,100,5.66,US,1705120212
40,allapalli,19.4167,80.0667,29.42,34,1,1.12,IN,1705120471
41,arlington,32.7357,-97.1081,4.1,53,0,3.6,US,1705120195
42,keflavik,64.0049,-22.5624,2.95,100,100,2.57,IS,1705120471
43,huarmey,-10.0681,-78.1522,23.29,83,100,2.32,PE,1705120472
44,yibin,28.7667,104.6238,18.81,50,0,1.36,CN,1705120472
45,borisovka,50.6236,35.9903,-17.92,96,91,1.53,RU,1705120472
46,gazojak,41.1875,61.4036,5.54,66,74,3.8,TM,1705120472
47,fortuna,40.5982,-124.1573,9.25,95,100,8.23,US,1705120472
48,fort bragg,35.139,-79.006,20.46,92,100,5.14,US,1705120473
49,edinburgh of the seven seas,-37.0676,-12.3116,17.91,91,85,6.36,SH,1705120473
50,vila do maio,15.1333,-23.2167,22.44,71,100,4.94,CV,1705120473
51,bonthe,7.5264,-12.505,25.96,86,29,1.69,SL,1705120473
52,kiuruvesi,63.65,26.6167,-12.49,81,100,3.86,FI,1705120474
53,avarua,-21.2078,-159.775,26.03,69,40,5.14,CK,1705120474
54,port mathurin,-19.6833,63.4167,28.5,75,99,6.85,MU,1705120474
55,waitangi,-43.9535,-176.5597,17.12,73,52,6.79,NZ,1705120475
56,igarka,67.4667,86.5833,-24.44,91,100,5.34,RU,1705120475
57,trondheim,63.4305,10.3951,5.05,92,100,1.79,NO,1705120475
58,wailua homesteads,22.0669,-159.378,22.24,62,0,4.63,US,1705120475
59,invercargill,-46.4,168.35,22.23,61,100,6.71,NZ,1705120475
60,sinabang,2.4803,96.3801,29.07,72,96,3.2,ID,1705120476
61,acapulco de juarez,16.8634,-99.8901,26.9,78,40,3.09,MX,1705120243
62,west island,-12.1568,96.8225,30.99,79,74,2.57,CC,1705120476
63,flin flon,54.7682,-101.865,-23.79,95,100,3.27,CA,1705120476
64,tiksi,71.6872,128.8694,-34.41,98,66,1.71,RU,1705120477
65,blackmans bay,-43.0167,147.3167,21.52,51,42,0.89,AU,1705120477
66,sidareja,-7.4846,108.7923,31.72,58,93,3.27,ID,1705120477
67,chonchi,-42.6128,-73.8092,8.56,95,17,1.5,CL,1705120477
68,vorgashor,67.5833,63.95,-26.92,98,99,2.75,RU,1705120477
69,qaqortoq,60.7167,-46.0333,-4.47,69,100,3.67,GL,1705120478
70,tura,25.5198,90.2201,22.49,34,0,0.53,IN,1705120478
71,ribeira brava,32.65,-17.0667,21.67,95,100,4.77,PT,1705120478
72,suntar,62.1444,117.6319,-22.44,89,82,3.59,RU,1705120478
73,plettenberg bay,-34.0527,23.3716,20.59,87,16,1.3,ZA,1705120479
74,birzai,56.2,24.75,-13.35,96,48,2.01,LT,1705120479
75,siwa oasis,29.2041,25.5195,10.17,45,0,3.94,EG,1705120479
76,dawesville,30.9224,-84.0091,19.23,77,0,3.6,US,1705120479
77,carnarvon,-24.8667,113.6333,26.41,67,9,7.29,AU,1705120479
78,makarska,43.2969,17.0178,1.89,52,0,3.87,HR,1705120480
